SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
彰化,彰化縣,38,,良好,5,0.22,0.2,19,22,23,12,5.8,7.4,1.6,3.1,341,2018-07-27 16:00,12,30,24.066,120.541519
西屯,臺中市,58,細懸浮微粒,普通,2.7,0.11,0.2,25,23,31,10,8.1,9.9,1.8,3.1,344,2018-07-27 16:00,18,31,24.162197,120.616917
忠明,臺中市,46,,良好,1.7,0.15,0.2,23,24,18,12,7.1,10,3.2,2.8,325,2018-07-27 16:00,14,28,24.151958,120.641092
大里,臺中市,47,,良好,2.2,0.22,0.3,24,23,33,10,9.4,13,4,2.9,337,2018-07-27 16:00,15,43,24.099611,120.677689
沙鹿,臺中市,39,,良好,2.3,0.14,0.2,22,21,18,10,4.4,7.2,2.8,4.2,353,2018-07-27 16:00,12,25,24.225628,120.568794
豐原,臺中市,66,細懸浮微粒,普通,1.6,0.13,0.2,26,26,23,16,4.8,7.5,2.7,2.5,329,2018-07-27 16:00,21,30,24.256586,120.741711
三義,苗栗縣,35,,良好,2,0.1,0.1,25,26,18,10,4.2,6.5,2.3,3.6,359,2018-07-27 16:00,11,24,24.382942,120.758833
苗栗,苗栗縣,64,細懸浮微粒,普通,1.8,0.14,0.2,22,21,42,23,3.5,6.2,2.7,2.7,331,2018-07-27 16:00,21,47,24.565269,120.8202
頭份,苗栗縣,29,,良好,1.8,0.13,0.2,27,27,21,9,2.3,4.2,1.9,4.6,121,2018-07-27 16:00,9,29,24.696969,120.898572
新竹,新竹市,52,細懸浮微粒,普通,2.1,0.17,0.2,29,23,23,13,4.7,6.1,1.4,2.9,166,2018-07-27 16:00,16,27,24.805619,120.972075
竹東,新竹縣,55,細懸浮微粒,普通,1.3,0.18,0.2,30,21,43,18,7.8,15,7.5,2.1,118,2018-07-27 16:00,17,44,24.740644,121.088903
湖口,新竹縣,51,細懸浮微粒,普通,2,0.09,0.1,31,28,33,15,3.4,4.8,1.4,2.4,9.9,2018-07-27 16:00,16,35,24.900142,121.038653
龍潭,桃園市,59,細懸浮微粒,普通,2.9,0.26,0.3,33,32,29,17,14,15,1.3,1,149,2018-07-27 16:00,19,33,24.863869,121.21635
平鎮,桃園市,44,,良好,4.2,0.19,0.2,17,24,32,11,15,19,4.1,2.7,22,2018-07-27 16:00,13,37,24.952786,121.203986
